location_id,age_group_id,cause_id,measure_id,metric_id,sex_id,year_id,acause,age_group_name,cause_name,expected,location_name,location_type,measure,measure_name,metric_name,sex,val,upper,lower,is_estimate
1,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Global,global,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00298764098231697,0.00392439210572456,0.00227138576148226,0
4,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,"Southeast Asia, East Asia, and Oceania",superregion,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00182161280994243,0.00245210646527682,0.00136597763652557,0
5,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,East Asia,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00136134889289592,0.00174207702678016,0.000884565513337512,0
6,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,China,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.0013272176590069,0.00173112325721454,0.000837594732835205,0
7,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Democratic People's Republic of Korea,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00341829240375646,0.00699078042885077,0.00185732468311738,1
8,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Taiwan,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00118181625729971,0.00136439789326723,0.00101042092553125,1
9,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Southeast Asia,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00280607589974943,0.00414888483478507,0.00199832688699217,0
10,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Cambodia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00255382674775364,0.00409112509856237,0.00151891609884507,1
11,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Indonesia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00267301858455106,0.00427056816940188,0.0015861041080622,0
12,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Lao People's Democratic Republic,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00450404651988956,0.00744493350528869,0.00253195972254409,1
13,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Malaysia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00187328489305532,0.00247496534840726,0.00135637454665441,1
14,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Maldives,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00122854791802828,0.00171994395487813,0.000838468816730973,1
15,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Myanmar,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00359912086774416,0.00580510617049496,0.00217377051493528,1
16,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Philippines,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00215760757348291,0.00288404246097121,0.00141149809666656,0
17,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Sri Lanka,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00162571678806207,0.00227314629151736,0.00119344737304436,1
18,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Thailand,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00303003580384128,0.00481654502091544,0.00217914750993424,1
19,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Timor-Leste,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00466275588956229,0.00808126086034101,0.00252250362876472,1
20,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Viet Nam,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00341470836879566,0.00542808733916858,0.00208829896488381,1
21,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Oceania,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00731576431317118,0.0122814742868636,0.00412288510088394,0
22,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Fiji,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00919375607973257,0.0128088360371508,0.00647189648986066,1
23,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Kiribati,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00960390518873083,0.0156886973097134,0.00535124552166545,1
24,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Marshall Islands,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00789649821350032,0.0131418155721128,0.00468529767021789,1
25,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Micronesia (Federated States of),admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00750842126999375,0.0104933781963829,0.00506025100415342,1
26,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Papua New Guinea,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00739512545476485,0.0135011655593429,0.00344394186238536,1
27,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Samoa,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00330815412919793,0.00551274051540496,0.00187407524427324,1
28,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Solomon Islands,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00911364683272301,0.0163871264128735,0.00449009163482123,1
29,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Tonga,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00645217575639388,0.010232648587954,0.00393884575077972,1
30,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Vanuatu,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00445991405766268,0.00820130888935065,0.00219737882687936,1
31,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,"Central Europe, Eastern Europe, and Central Asia",superregion,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00184070666191325,0.00198876555947826,0.00171810505700727,0
32,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Central Asia,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00200090167947429,0.00226309795523496,0.00181175412683636,0
33,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Armenia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00110231039148217,0.00128866155915621,0.000927584703789976,1
34,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Azerbaijan,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00153492959400402,0.00234212716192894,0.00102018382607641,1
35,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Georgia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00184176261232617,0.00219605260249124,0.00154060301719962,1
36,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Kazakhstan,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00183523737397664,0.00212017765445923,0.00157567994395733,1
37,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Kyrgyzstan,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00222179612538978,0.00256215716834191,0.00192254446628741,1
38,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Mongolia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00299547982122897,0.00451876613685609,0.00204799960708998,1
39,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Tajikistan,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.0017144114507442,0.00278494832564041,0.00112612978931498,1
40,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Turkmenistan,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00276736620560147,0.00338309053683387,0.00225033211036955,1
41,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Uzbekistan,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00228806475450924,0.00258502389430817,0.00205594349931214,1
42,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Central Europe,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00178698928356118,0.00195974393456424,0.00162201395571548,0
43,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Albania,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000872810721620234,0.00139321652514122,0.00052364807532929,1
44,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Bosnia and Herzegovina,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00164535915606026,0.00229075274040143,0.00118876974645969,1
45,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Bulgaria,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00191563978140037,0.00220296667298983,0.00165506991559405,1
46,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Croatia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00104021361934609,0.00118699288096609,0.000902194500186545,1
47,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Czechia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00114156362288794,0.00128811863935613,0.00100142764907807,1
48,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Hungary,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00163195588473314,0.00182998237464256,0.00144117086527425,1
49,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,North Macedonia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00177684175547079,0.0025114108123155,0.00122286018514975,1
50,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Montenegro,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00159878389529634,0.00229096400254575,0.0010746781140505,1
51,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Poland,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00136689129451941,0.00151197300099183,0.00122056417674851,0
52,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Romania,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00314891267665547,0.00356858342477248,0.00278330753784579,1
53,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Serbia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00252185133570439,0.00343682882776448,0.00189231504086197,1
54,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Slovakia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00171929003977763,0.00244322082087852,0.00134981246014829,1
55,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Slovenia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000748434998469512,0.000895460422983033,0.000625204538314294,1
56,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Eastern Europe,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00182482533620628,0.00202453266768525,0.00165008669614475,0
57,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Belarus,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00173450062713919,0.00204947073481058,0.00150571643874844,1
58,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Estonia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00135578007455231,0.00151087676482544,0.001219681913242,1
59,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Latvia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00145712153823994,0.00167259650150074,0.00124297606522909,1
60,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Lithuania,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00173563805514185,0.00196418976424663,0.00151037130064031,1
61,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Republic of Moldova,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00184174970691673,0.00216706083326054,0.00155283931006333,1
62,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Russian Federation,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00202095665038425,0.0023111366288438,0.00177595713996165,0
63,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Ukraine,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00113453447395129,0.0012970710100791,0.000976063351968171,0
64,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,High-income,superregion,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00102242771630035,0.00111982698391477,0.000911829715713262,0
65,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,High-income Asia Pacific,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000960413144982294,0.00109741041493344,0.000840773608897591,0
66,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Brunei Darussalam,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00268955007221239,0.00384924616890445,0.00179547482593589,1
67,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Japan,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00106006022879991,0.00118732490262455,0.000919041830534592,0
68,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Republic of Korea,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000787492515104452,0.00128840947774848,0.000579073742886202,1
69,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Singapore,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000750535735192197,0.000855519340941109,0.000645028301465822,1
70,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Australasia,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000678073422000204,0.000764873536944534,0.000592842714214004,0
71,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Australia,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000676134640615886,0.000766693491257887,0.000585602559635147,1
72,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,New Zealand,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000689160512905357,0.000783809536481939,0.000585296547093331,0
73,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Western Europe,region,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000801414563021256,0.000873176397430347,0.000720821112613686,0
74,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Andorra,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00165458013722623,0.00237144604152103,0.0010985103156579,1
75,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Austria,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000771492228199112,0.000873420112070101,0.000653962746892079,1
76,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Belgium,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000742636280307443,0.000842041486296565,0.000633649285154422,1
77,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Cyprus,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000838526989548247,0.00126339962079035,0.0005464799857576,1
78,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Denmark,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.00090133220720014,0.00102465917106302,0.000773848823809738,1
79,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Finland,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000478061923783401,0.000561105788920872,0.000405428858342166,1
80,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,France,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000828366889779247,0.000938235220300121,0.000713542599793774,1
81,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Germany,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000951838643582363,0.00106109282676037,0.000866195485309848,1
82,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Greece,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000791847970935165,0.000914811571489635,0.000676575593380566,1
83,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Iceland,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000609956979688348,0.000707561661017825,0.000508860138141399,1
84,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Ireland,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000718033698384736,0.000847976277607234,0.000582646471248492,1
85,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Israel,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000601231673267031,0.00069926685917666,0.000506575785318531,1
86,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Italy,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000698954726876768,0.000811085072162959,0.000594069576686273,0
87,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Luxembourg,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000453671315995004,0.000520568491762407,0.000380762334466308,1
88,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Malta,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000462264312104512,0.000551405991230944,0.000382398727584383,1
89,27,432,2,3,2,2023,neo_cervical,Age-standardized,Cervical cancer,FALSE,Netherlands,admin0,daly,DALYs (Disability-Adjusted Life Years),Rate,Female,0.000605113026589608,0.000682588961016973,0.000524517392254945,1
