location_name,cases_change_lower,cases_change_mean,cases_change_upper,lower_final,mean_final,upper_final
"Central Europe, Eastern Europe, and Central Asia",-0.261072173652793,-0.175183651320355,-0.0786829696884534,28915.0901655932,35218.1785204856,44542.7689772756
Global,0.0462826860813011,0.201839993361794,0.385344405397933,587289.666573517,1076217.4162558,1753537.37635863
High-income,-0.185965375446548,-0.12766349710712,-0.0680103029151475,59278.3084870623,83515.7710676832,110821.049274805
Latin America and Caribbean,-0.0186603810377069,0.133882928472643,0.293621500133375,70927.0585923957,91649.2665195946,116154.138068215
North Africa and Middle East,0.314936493490151,0.518129994734621,0.77493845863231,15720.1019030665,30803.7040553211,55180.19697371
South Asia,0.0857204023446887,0.329381758281944,0.661036167281396,132297.069064006,268615.080997856,525286.29521414
"Southeast Asia, East Asia, and Oceania",-0.186247560304355,-0.0546075657644349,0.0961254373327507,137146.15874771,197031.6340174,277405.02635825
Sub-Saharan Africa,0.654591928111023,0.886980190151892,1.14683412706221,277459.762473352,467995.810378068,735715.83144691
