location_name,deaths_change_lower,deaths_change_mean,deaths_change_upper,lower_final,mean_final,upper_final
"Central Europe, Eastern Europe, and Central Asia",-0.138363720700851,-0.0549078625151076,0.0390865866271075,15481.3443373423,17380.9050529708,19451.1534932541
Global,0.23646536995179,0.392599780420276,0.572847839399734,320783.972784999,522326.777169791,810886.021942626
High-income,-0.0408789862155708,0.0213763606261835,0.072338401763127,24979.8051818568,30636.6966272455,36335.2072818569
Latin America and Caribbean,0.172130348713709,0.317931099701005,0.475349513734339,40286.9775040014,45443.1426590845,51953.0294656713
North Africa and Middle East,0.525691317538121,0.74947652755654,1.03198767415699,7948.74045686556,13836.2134722225,23373.097348147
South Asia,0.193475405956711,0.43428482357761,0.739106405144225,73186.471290135,137119.648477533,239309.660702065
"Southeast Asia, East Asia, and Oceania",0.00750943110884691,0.152813940452296,0.31598916929632,71082.8345875338,96408.6747979635,126787.643796353
Sub-Saharan Africa,0.756535996179144,0.954322226046474,1.18583048983306,130275.889925749,205766.769042367,294419.83255532
